Region,SOF,Latitude,Longitude
Gisborne,WXL,-37.6746,178.3481
Gisborne,WWL,-38.2039,178.2558
Gisborne,WWL,-38.2923,178.2692
Gisborne,WDL,-38.6342,177.9682
Gisborne,WDL,-38.6683,178.0199
Gisborne,CWH,-38.4268,177.7224
Gisborne,WWL,-38.3591,177.9335
Gisborne,WWL,-38.4616,177.8767
Gisborne,WWL,-38.6782,178.08
Gisborne,"NANA",-38.6685,178.0286
Bay of Plenty,CWH,-38.0824,176.2122
Bay of Plenty,CWH,-38.1564,176.2638
Gisborne,CWH,-38.3786,177.7931
Gisborne,WWL,-38.7595,177.8177
Gisborne,WWL,-38.5142,178.0403
Gisborne,WWL,-38.6537,177.9177
Gisborne,CWH,-38.5468,177.6596
Gisborne,CWH,-38.0475,178.1234
Bay of Plenty,CWLk,-38.044,176.3308
Bay of Plenty,CWLk,-38.0803,176.7124
Bay of Plenty,CWH,-38.0465,176.988
Bay of Plenty,WWL,-38.0943,177.288
Waikato,CWLk,-37.5662,175.1543
Southland,CWH,-45.6062,167.7023
Southland,CWH,-45.7374,168.1204
Southland,CWH,-45.4471,168.1362
Southland,CDL,-46.5104,168.7375
Southland,CDL,-46.3891,168.7776
Southland,CWH,-45.5583,168.5612
Southland,CDL,-46.3263,168.2662
Southland,CXLk,-45.7987,167.64
Waikato,WWL,-37.6977,175.2068
Waikato,WDL,-37.2813,175.0467
Waikato,CWLk,-38.5328,176.3037
Waikato,CWLk,-38.407,176.0861
Waikato,WWL,-37.296,174.9452
Waikato,WWL,-38.2855,175.6852
Waikato,CWH,-38.4187,175.8063
Waikato,CDH,-38.6811,176.0699
Taranaki,WWL,-39.0562,174.1851
Otago,CDL,-45.9043,170.4217
Otago,CDL,-45.9682,170.129
Otago,CDH,-45.6161,170.5965
Otago,CWL,-45.8622,170.5175
Otago,CDH,-44.7501,169.1169
Otago,CDH,-45.8659,169.1403
Otago,CDL,-46.0248,169.6972
Waikato,WWL,-38.5631,174.8371
Waikato,WXL,-38.6706,174.7094
Waikato,WWL,-37.587,175.091
Waikato,WWL,-37.2888,175.6717
Waikato,CWH,-38.8546,176.0214
Waikato,WWL,-37.8996,175.5349
Waikato,WWL,-37.1574,175.5905
Waikato,CWH,-38.3822,176.3426
Waikato,WDL,-37.745,175.2615
Waikato,WDL,-37.6254,175.2527
Waikato,WWL,-38.0553,175.6968
Waikato,CWH,-38.3472,176.0118
Waikato,CWH,-38.4523,176.3175
Waikato,WWL,-37.8118,175.3005
Waikato,CWL,-38.1969,175.8394
Waikato,WWL,-38.6475,174.6699
Waikato,CWH,-38.05,175.5384
Waikato,WDL,-37.8092,175.3363
Waikato,WDL,-37.7799,175.3874
Waikato,WWL,-37.8169,175.5128
Waikato,WWL,-38.1959,175.2053
Waikato,WWL,-38.0982,175.3961
Waikato,CXH,-38.0298,175.1363
Waikato,WDL,-37.8906,175.4046
Waikato,WWL,-37.4013,175.4234
Waikato,CWH,-38.6904,175.9664
Waikato,WWL,-38.2594,174.8347
Waikato,WWL,-38.6841,174.7228
Waikato,CWL,-38.4656,175.2858
Waikato,WWL,-38.5709,174.9027
Waikato,WWL,-38.5512,174.982
Waikato,WWL,-37.7632,174.9725
Waikato,WWL,-37.4145,175.7948
Waikato,WWL,-37.3734,175.8667
Waikato,WWL,-37.7676,175.1514
Waikato,WWL,-37.3653,174.885
Waikato,WWL,-37.9221,175.7706
Waikato,CWH,-38.3072,176.2637
Waikato,WWL,-37.7022,175.6042
Waikato,WDL,-37.5141,175.5062
Waikato,WWL,-37.8251,175.6281
Waikato,CWL,-38.0579,175.7225
Waikato,CWH,-38.6149,176.2588
Waikato,CWH,-38.3366,176.0704
Waikato,WWL,-37.0747,175.7717
Waikato,WWL,-36.9816,175.5051
Waikato,WWL,-37.3846,175.2902
Waikato,WWL,-36.7939,175.52440000000001
Waikato,CWH,-38.7005,175.6838
Waikato,WWL,-37.7874,175.8394
Waikato,WWL,-38.0193,175.8141
Waikato,WWH,-38.004,175.919
Waikato,WWL,-37.8533,175.8655
Waikato,CWH,-38.3801,176.3467
Waikato,WWL,-38.0058,175.2039
Waikato,WWL,-38.1922,175.2086
Waikato,CWH,-38.4236,175.9594
Waikato,CWH,-38.7985,176.0865
Waikato,WWL,-37.2714,175.357
Waikato,CWLk,-37.7733,175.2697
Waikato,WXL,-37.4167,175.7832
Waikato,WWL,-37.8178,174.976
Waikato,WWL,-37.7653,175.7412
Waikato,WWL,-37.5284,175.6296
Waikato,WWL,-38.1808,175.1915
Waikato,WWL,-38.2602,175.0988
Waikato,WWL,-36.9245,175.6923
Waikato,CWL,-38.2147,175.8728
Waikato,WWL,-37.1361,175.8426
Otago,CDH,-45.2264,169.4306
Otago,CDH,-44.9675,168.8144
Otago,CDL,-45.4748,170.7547
Otago,CDH,-45.3262,169.9543
Otago,CWL,-46.4612,169.5505
Otago,CDL,-46.059,169.4017
Otago,CDL,-46.1075,169.2517
Southland,CXLk,-46.1303,167.6858
Southland,CWM,-45.3158,168.1793
Southland,CDL,-46.2406,167.9587
Southland,CDL,-45.7162,168.4281
Southland,CDL,-46.1995,168.303
Southland,CWL,-46.1347,168.6019
Southland,CDL,-46.3847,168.3667
Southland,CDL,-46.4141,168.3504
Southland,CDH,-46.0093,168.8491
Southland,CWH,-45.8519,168.793
Southland,CWM,-45.5496,169.0289
Southland,CDL,-46.1075,168.9543
Southland,CWH,-46.3096,169.0822
Southland,CWL,-45.998,168.8242
Southland,CDL,-46.3828,168.7612
Southland,CDL,-46.0555,168.3123
Southland,CDL,-46.1327,168
Southland,CDL,-46.2859,168.0829
Northland,WWL,-35.2965,173.9017
Northland,WWL,-35.5419,174.2715
Northland,WWL,-35.108,173.2273
Northland,WWL,-35.6961,173.8678
Northland,WWL,-35.6318,173.8563
Otago,CDL,-45.8715,169.2124
Southland,CDL,-45.6796,168.4259
Southland,CDL,-46.3629,168.3467
Otago,CDH,-45.253,170.8413
Otago,CDL,-45.1538,170.8819
Tasman,CWH,-41.619,172.8079
Tasman,CWH,-41.065,172.9845
Tasman,CDL,-41.4033,173.1308
Auckland,WDL,-36.9623,174.88
Auckland,WDL,-36.9132,174.9161
Auckland,WDL,-36.9334,174.9029
Southland,CDL,-46.1266,167.9771
Otago,CDL,-46.082,169.8523
Southland,CWH,-45.5814,168.3738
Southland,CDL,-46.3298,168.2991
Southland,CDH,-46.1986,168.8635
Southland,CWL,-46.5742,169.1467
Southland,CDL,-46.1002,168.9494
Southland,CWL,-46.3212,168.8601
Southland,CWH,-45.5415,167.8883
Southland,CWL,-46.0005,168.4577
Southland,CWL,-46.0667,168.4827
Southland,CDL,-46.5202,168.5427
Northland,WWL,-35.698,174.145
Northland,WWL,-35.5336,174.2288
Northland,WWL,-35.6177,174.2601
Northland,WWL,-35.1468,173.4075
Taranaki,CWL,-39.3887,174.4666
Taranaki,CXH,-39.3239,174.1905
Taranaki,CXH,-39.3395,174.3451
Taranaki,CXH,-39.4119,174.0143
Taranaki,CWL,-39.496,173.9065
Taranaki,CXH,-39.225,173.8969
Taranaki,CWL,-39.429,174.2848
Taranaki,WWL,-39.1416,174.1374
Southland,CWL,-45.4102,167.7412
Auckland,WDL,-36.9666,174.8457
Canterbury,CDL,-43.9095,171.7387
Canterbury,CWH,-43.8677,171.6999
Canterbury,CDL,-43.6052,171.5319
Canterbury,CXGM,-44.0515,171.402
Canterbury,CXGM,-43.9746,171.3002
Canterbury,CDH,-44.2454,171.1132
Canterbury,CDL,-44.4177,171.2425
Canterbury,CDL,-44.185,171.5089
Nelson,CWL,-41.3308,173.2068
Nelson,CWL,-41.327,173.2175
Nelson,CWL,-41.3032,173.2269
Nelson,CWL,-41.295,173.2408
Nelson,CWL,-41.2958,173.2667
Nelson,CWH,-41.2716,173.2899
Nelson,CWH,-41.2884,173.3268
Nelson,CWL,-41.2753,173.3287
Nelson,CDL,-41.214,173.3362
Nelson,CWL,-41.1899,173.4192
Nelson,CWL,-41.2158,173.3954
Nelson,CWL,-41.2292,173.402
Nelson,CWL,-41.2174,173.3955
Nelson,CWL,-41.2504,173.3816
Nelson,CWL,-41.2026,173.4208
Nelson,CWL,-41.1289,173.5412
Nelson,CWH,-41.1889,173.4841
Nelson,CWL,-41.1597,173.5337
Nelson,CWL,-41.141,173.5369
Nelson,CWL,-41.2035,173.3595
Tasman,CXH,-40.7458,172.6277
Tasman,CDL,-41.3485,173.2025
Tasman,CWH,-41.3863,173.1602
Tasman,CWH,-41.4873,172.7006
Tasman,CWH,-41.3097,173.13
Tasman,CWL,-41.34,172.7653
Tasman,WDL,-41.3342,173.2009
Tasman,CWL,-41.0757,172.9845
Tasman,WWL,-41.1879,172.9305
Tasman,CWH,-41.124,172.9568
Tasman,CWH,-41.6552,172.8578
Tasman,CWH,-41.3343,172.7948
Tasman,CWL,-41.3809,172.7359
Southland,CWL,-46.2495,167.9359
Southland,CDL,-46.2995,168.1724
Southland,CWH,-45.4628,168.6838
Southland,CDL,-46.0624,168.2347
Southland,CDL,-46.246,168.4132
Southland,CDL,-46.1611,168.093
Southland,CWL,-46.2921,167.9579
Southland,CDL,-46.2816,167.9762
Southland,CDL,-46.0992,167.9622
Southland,CDL,-46.5421,168.4339
Southland,CDL,-46.5485,168.6572
Southland,CDL,-46.5428,168.6512
Southland,CDL,-46.5407,168.5692
Southland,CDL,-45.9658,168.3706
Manawatū-Whanganui,CDH,-39.7538,175.8362
Manawatū-Whanganui,CWL,-40.5116,175.2684
Manawatū-Whanganui,CWL,-40.4227,175.8619
Manawatū-Whanganui,WDL,-40.2756,175.5216
Manawatū-Whanganui,CWM,-39.6277,176.0443
Manawatū-Whanganui,CWL,-39.4796,175.0445
Northland,WWL,-35.9618,174.114
Northland,WWL,-35.4628,173.6606
Manawatū-Whanganui,CWL,-40.3589,175.9629
Manawatū-Whanganui,CWH,-39.1116,175.0613
Manawatū-Whanganui,CWH,-38.8916,175.2553
Otago,CDH,-45.9109,170.2624
Otago,CDH,-45.1967,170.1532
Canterbury,CWH,-44.0035,171.1653
Canterbury,CDH,-44.7793,171.1578
Canterbury,CDL,-44.8005,170.9757
Canterbury,CDH,-44.0415,171.111
Canterbury,CDL,-44.7753,171.1529
Canterbury,CDL,-44.7492,171.1606
Canterbury,CDL,-44.6762,171.1475
Canterbury,CWH,-43.4613,171.893
Waikato,CWH,-38.8887,175.7686
Waikato,CWH,-38.7835,175.7301
Waikato,CWH,-38.8593,175.7827
Nelson,CWH,-41.3281,173.2633
Nelson,CWL,-41.2994,173.3669
Nelson,CWL,-41.2401,173.401
Nelson,CWH,-41.1853,173.4874
Otago,CDM,-45.2474,169.3563
Otago,CDH,-45.0318,170.7522
Tasman,CWH,-41.8174,172.4306
Tasman,CWL,-41.4077,173.1589
Tasman,CWH,-41.471,173.0786
Tasman,CWH,-41.0339,172.901
Tasman,CWH,-41.6762,172.8654
Tasman,CXL,-40.7585,172.7056
Tasman,CWH,-41.6467,172.8409
Southland,CDL,-45.6187,167.6904
Southland,CDL,-46.0772,167.7916
Southland,CWH,-45.5307,167.7546
Northland,WWL,-35.7621,173.6838
Northland,WWH,-35.6525,173.5704
Northland,WWL,-35.1215,173.2754
Otago,CDL,-45.8727,170.3221
Canterbury,CDL,-43.4474,172.6782
Canterbury,CDL,-44.2107,171.2632
Canterbury,CDL,-44.2447,171.2677
Canterbury,CDL,-44.0944,171.6239
Canterbury,CDL,-44.2267,171.4071
Canterbury,CDL,-44.2399,171.3865
Canterbury,CDL,-44.0155,171.2777
Canterbury,CDL,-44.1522,171.4804
Canterbury,CDL,-43.1279,172.7789
Canterbury,CWH,-43.2768,172.6886
Canterbury,CDL,-43.2896,172.6852
Canterbury,CDL,-43.3434,172.637
Canterbury,CDL,-43.3714,172.6289
Canterbury,CDL,-43.3751,172.6324
Canterbury,CDL,-43.4356,172.635
Canterbury,CDL,-43.7397,172.0432
Canterbury,CWH,-43.518,171.6576
Canterbury,CDH,-43.0594,172.5897
Canterbury,CDL,-43.305,172.6422
Nelson,CWL,-41.2882,173.3256
Tasman,WXL,-40.7145,172.614
Tasman,CWL,-40.8314,172.8939
Tasman,CXH,-41.7996,172.3198
Tasman,WWL,-40.856,172.8317
West Coast,CXH,-42.63,171.5966
Southland,CWL,-46.3585,168.8435
Southland,CWL,-46.6297,169.0232
Southland,CWH,-45.7226,168.8419
Southland,CDL,-45.9448,168.6599
Southland,CWL,-46.6214,168.8797
Southland,CDL,-45.9872,168.8011
Wellington,CWL,-40.743,175.1408
Wellington,CWL,-40.7764,175.223
Wellington,CWL,-40.7366,175.1263
Wellington,WWL,-40.822,175.1996
Wellington,WDL,-40.7587,175.1085
Wellington,WWL,-40.7904,175.0889
Wellington,WWL,-40.8616,175.0311
Wellington,CWL,-40.8686,175.1357
Wellington,CWL,-40.8769,175.0321
Wellington,WWL,-40.9547,174.9721
Wellington,CWL,-41.0793,174.9262
Wellington,CWL,-41.1143,174.9188
Wellington,CWL,-41.1916,174.8279
Wellington,WWL,-41.1494,174.8396
Wellington,CWL,-41.236,174.7127
Wellington,CWL,-41.2954,174.7225
Wellington,CWL,-41.258,174.7794
Wellington,CXH,-41.0799,175.1436
Wellington,WWL,-41.1536,174.9864
Wellington,CXH,-41.0652,175.1971
Wellington,CWH,-41.0943,175.1281
Wellington,CWL,-41.0895,175.0977
Wellington,CWL,-41.1123,175.0516
Wellington,CWL,-41.3945,174.8818
Wellington,WDL,-41.418,174.9018
Wellington,CXH,-40.7497,175.5826
Wellington,CWL,-40.9528,175.6801
Wellington,CWL,-41.0724,175.6291
Wellington,CWL,-41.2481,175.3611
Wellington,CWL,-40.6879,176.2169
Wellington,CWL,-40.7545,175.9887
Wellington,CDL,-41.063,175.6676
Wellington,CWL,-40.8936,175.6918
Wellington,CWL,-40.9863,175.689
Wellington,CWL,-40.9542,175.6736
Wellington,CXH,-40.9755,175.6233
Wellington,WWL,-40.9599,176.043
Wellington,CWL,-41.0595,175.9991
Wellington,WDL,-41.078,175.5417
Wellington,CXH,-41.0164,175.4001
Wellington,WDL,-41.0911,175.5076
Wellington,CWL,-41.0181,175.4258
Wellington,CWL,-41.0548,175.4962
Wellington,CDL,-41.208,175.4691
Wellington,WWL,-41.4945,175.5152
Wellington,CWH,-41.1679,175.3493
Wellington,CWH,-41.2564,175.1438
Taranaki,WWL,-39.1553,174.259
Bay of Plenty,CWLk,-38.0178,176.344
Bay of Plenty,WWL,-38.0795,177.1362
Gisborne,CWH,-37.9488,178.2109
Gisborne,WXL,-37.5927,178.1525
Gisborne,WWL,-38.5151,178.2549
Wellington,CWL,-41.2568,175.0089
Wellington,CWL,-41.1092,175.9538
Wellington,CWL,-40.9969,175.593
Wellington,CWH,-41.3983,175.2806
Hawke's Bay,CDL,-39.6046,176.932
Gisborne,CWH,-38.3616,177.4981
Gisborne,WXH,-37.5994,178.2602
Otago,CDH,-44.7454,169.5078
Otago,CDH,-45.4835,169.8139
Bay of Plenty,WWLk,-37.7904,176.3603
Canterbury,CDL,-44.1263,171.2641
Canterbury,CWM,-42.4155,173.6319
Canterbury,WDL,-42.3991,173.6798
Canterbury,WDL,-42.392,173.673
Canterbury,WDL,-42.367,173.6848
Canterbury,WDL,-42.3765,173.6787
Gisborne,WXL,-37.7853,178.4276
Wellington,WWL,-41.3861,175.5597
Hawke's Bay,WWL,-39.6393,176.9881
Hawke's Bay,WWL,-39.7327,176.953
Hawke's Bay,WWL,-39.8259,176.9811
Tasman,CWL,-40.8493,172.8404
Tasman,WWL,-40.8583,172.8195
Tasman,CXH,-40.7767,172.6962
West Coast,CXLk,-42.6495,171.534
Bay of Plenty,WWH,-37.7545,176.0701
Bay of Plenty,WWL,-37.5851,175.9118
Bay of Plenty,CWH,-38.4602,176.6977
Bay of Plenty,CWH,-38.04,176.8
Bay of Plenty,WWL,-37.9414,176.7667
Bay of Plenty,CWLk,-38.1833,176.5006
Canterbury,CDL,-44.9163,171.095
Gisborne,WWL,-38.6397,178.0682
Gisborne,WDL,-38.631100000000004,177.8576
Wellington,WWL,-40.9531,174.997
Wellington,WWL,-41.1967,174.9205
Wellington,WWL,-41.198,174.9222
Hawke's Bay,CDL,-39.7154,176.927
Manawatū-Whanganui,CWM,-39.8094,175.8081
Manawatū-Whanganui,CWH,-38.9425,175.1889
Hawke's Bay,CWH,-39.0736,177.1291
Northland,WWL,-35.7342,174.0512
Northland,WWL,-35.6528,174.1519
Taranaki,CWL,-39.5763,174.2102
Taranaki,CWL,-39.5763,174.2103
Canterbury,CDL,-44.8715,170.965
Canterbury,CDH,-42.8289,172.8973
Gisborne,WWL,-38.0469,178.1767
Gisborne,WXH,-37.6256,178.3346
Gisborne,WWL,-38.3474,178.2491
Gisborne,WXH,-37.8377,178.2939
Gisborne,CXH,-37.8944,178.2951
Gisborne,WDL,-38.6918,178.0715
Hawke's Bay,CWH,-40.0154,176.3231
Hawke's Bay,CWL,-39.9659,176.3342
Hawke's Bay,CWH,-39.8623,176.4456
Hawke's Bay,CWH,-39.9353,176.3508
Hawke's Bay,CDL,-40.0241,176.3711
Hawke's Bay,CDL,-39.7155,176.9279
Hawke's Bay,CWL,-39.9489,176.7027
Hawke's Bay,CWH,-38.9479,176.2851
Hawke's Bay,CWL,-39.9623,176.6823
Gisborne,WWL,-38.5558,178.2153
Wellington,CWL,-41.0253,175.4973
Gisborne,WDL,-38.6955,177.9418
Otago,CDH,-45.1772,170.8811
Otago,CDH,-45.4255,170.6633
Bay of Plenty,WWLk,-37.7934,176.3638
Canterbury,CDH,-44.4586,169.9726
Canterbury,CDH,-44.4652,170.0378
Canterbury,CDH,-44.5089,170.6757
Canterbury,CDH,-44.598,170.6355
Canterbury,CDL,-44.2493,171.3002
Canterbury,CDL,-44.264,171.33690000000001
Canterbury,CDL,-44.8991,171.1224
Canterbury,CDL,-44.6657,171.162
Canterbury,CDH,-44.2377,171.3922
Canterbury,CDL,-43.3756,172.6336
Canterbury,CDL,-43.6961,172.4129
Canterbury,CDL,-43.3048,172.6888
Canterbury,CDL,-43.8555,172.2812
Canterbury,CDL,-43.8537,172.3564
Canterbury,CDH,-43.4144,172.034
Canterbury,CDL,-43.2549,172.6887
Canterbury,CWM,-42.6882,172.799
Canterbury,CDL,-42.6544,173.0349
Canterbury,CWH,-42.7192,173.2842
Canterbury,CDL,-44.202,171.3454
Canterbury,CDL,-44.2152,171.3263
Canterbury,CDL,-44.216,171.3251
Canterbury,WDL,-42.404,173.6842
Hawke's Bay,WWL,-39.3854,176.8212
Hawke's Bay,WDL,-39.5991,176.8779
Hawke's Bay,CWL,-39.5685,176.881
Hawke's Bay,WDL,-40.2967,176.5807
Hawke's Bay,WDL,-39.6977,176.7939
Hawke's Bay,WWL,-40.2945,176.5558
Hawke's Bay,WDL,-39.6939,176.7909
Hawke's Bay,WWL,-39.4404,176.7191
Hawke's Bay,CWH,-39.3709,176.439
Hawke's Bay,WDL,-39.9961,176.6269
Hawke's Bay,CWH,-39.5584,176.3984
Hawke's Bay,WWL,-39.2701,176.9789
Hawke's Bay,CWH,-39.048,176.589
Hawke's Bay,CWH,-38.9444,176.508
Hawke's Bay,WXL,-39.0144,177.8583
Hawke's Bay,CXLk,-38.7401,177.1703
Hawke's Bay,CWH,-38.8157,177.4832
Gisborne,CWH,-38.7334,177.5843
Hawke's Bay,CWH,-39.0014,177.395
Hawke's Bay,CWH,-39.5867,176.7603
Hawke's Bay,WWL,-39.8011,176.9791
Hawke's Bay,CWH,-39.2004,176.5167
Hawke's Bay,WWL,-39.9649,176.906
Hawke's Bay,CWH,-38.9152,176.2753
Hawke's Bay,WDL,-39.5994,176.7114
Hawke's Bay,CWH,-39.5999,176.5771
Hawke's Bay,CWH,-39.2073,176.517
Manawatū-Whanganui,CWL,-40.3319,175.818
Manawatū-Whanganui,CWH,-40.6634,175.3374
Manawatū-Whanganui,CWH,-40.4873,175.526
Manawatū-Whanganui,WDL,-39.8867,174.9013
Canterbury,CDH,-44.2807,171.3464
Canterbury,CDH,-44.2413,171.4071
Nelson,CWL,-41.2783,173.2892
Tasman,CWH,-41.8164,172.4734
Tasman,WWL,-40.855,172.8141
