Region,SOF,Latitude,Longitude
West Coast,CXL,-42.4572,171.2056
West Coast,CXL,-42.3761,171.2429
West Coast,CXL,-41.7602,171.545
West Coast,CXL,-41.771,171.6254
West Coast,CXL,-43.1734,170.3773
West Coast,CXL,-43.183,170.383
West Coast,CXLk,-42.4818,171.3762
West Coast,CXH,-42.6012,171.4974
Auckland,WWL,-36.7443,174.6179
Bay of Plenty,CXH,-37.8637,177.6323
Bay of Plenty,CWH,-38.458,176.6973
Bay of Plenty,WWL,-37.939,176.767
Bay of Plenty,CWLk,-38.1819,176.5024
Bay of Plenty,CWH,-38.4798,176.7476
Bay of Plenty,CWH,-38.4844,176.7457
Bay of Plenty,CWH,-38.0398,176.7998
Canterbury,CDH,-42.8762,172.7491
Canterbury,CDH,-42.8325,172.9031
Canterbury,CDH,-44.1683,170.9417
Canterbury,CWM,-43.4173,172.6418
Southland,CDL,-45.8864,168.6015
Southland,CDL,-45.945,168.6225
Southland,CDL,-45.9392,168.7295
Southland,CDL,-46.3895,168.7971
Southland,CDL,-46.3263,168.2659
Waikato,CWLk,-37.7922,175.2891
Gisborne,WWL,-38.4685,177.8818
Manawatū-Whanganui,CWL,-40.5652,175.7451
Manawatū-Whanganui,CWL,-40.4354,175.4698
Manawatū-Whanganui,WDL,-40.3725,175.6241
Manawatū-Whanganui,CWL,-40.2405,176.1117
Manawatū-Whanganui,CWL,-40.3419,175.8479
Manawatū-Whanganui,CXL,-40.6404,175.611
Manawatū-Whanganui,CWH,-39.431,175.3231
Manawatū-Whanganui,CWH,-40.1734,175.6599
Manawatū-Whanganui,CWH,-40.2246,175.783
Manawatū-Whanganui,CWH,-40.0796,175.4638
Manawatū-Whanganui,CWM,-39.8103,175.8081
Manawatū-Whanganui,WDL,-40.3725,175.6242
Southland,CWL,-45.805,167.5342
Hawke's Bay,CWM,-39.3799,176.3306
Gisborne,CWH,-38.1997,177.621
Northland,WWL,-35.725,174.3164
Northland,WWL,-35.6399,174.3131
Auckland,WWL,-36.3853,174.517
Canterbury,CDL,-44.9271,171.1003
Canterbury,CDH,-44.7248,170.4906
Canterbury,CWLk,-44.7005,170.4512
Canterbury,CDL,-44.2621,171.2905
Canterbury,CWH,-44.0789,170.9797
Canterbury,CWH,-42.7904,172.5415
Gisborne,CWH,-38.415,177.5617
Hawke's Bay,CWH,-39.8179,176.304
Hawke's Bay,CWH,-39.5964,176.8725
Hawke's Bay,CWH,-39.1778,176.6348
Manawatū-Whanganui,CWH,-40.1251,175.4443
Manawatū-Whanganui,CWL,-39.7869,175.1425
Marlborough,WDL,-41.4388,173.9527
Northland,WWL,-35.7323,174.0527
Northland,WWL,-35.6519,174.1508
Northland,WWL,-35.2763,174.0475
Northland,WWL,-35.2734,173.6881
Otago,CDL,-46.2373,169.748
Otago,CDH,-45.8464,170.2439
Otago,CDL,-45.6647,169.4101
Otago,CDH,-45.5962,170.0941
Otago,CDH,-45.2565,170.2728
Otago,CWLk,-45.0064,168.8687
Otago,CWM,-44.99,168.715
Otago,CXLk,-44.7293,169.28
Taranaki,CXL,-39.2812,174.2618
Taranaki,WXL,-39.0479,174.2551
Tasman,CWH,-41.7651,172.3867
Waikato,CXM,-38.9945,175.8131
Waikato,CWLk,-38.6758,176.0773
Waikato,CWH,-38.2687,175.3483
Waikato,WWL,-37.7986,175.1519
Waikato,WWL,-37.5466,175.7068
Waikato,WDL,-37.4321,175.1315
Waikato,WWL,-37.4148,175.7153
Wellington,CWL,-41.1954,175.4396
Wellington,CXH,-41.0509,175.1916
Wellington,WDL,-41.003,175.6716
Wellington,CXH,-40.7621,175.605
West Coast,CXL,-43.9425,169.2979
Canterbury,CXM,-43.359,172.0512
Tasman,CWM,-41.6335,172.9137
Tasman,CWL,-41.2498,172.8248
Marlborough,CWM,-41.8964,172.9229
Canterbury,CWH,-42.8984,173.0966
West Coast,CXH,-41.8349,171.6998
West Coast,CXL,-42.4535,171.2979
West Coast,CWL,-42.3545,171.7862
Auckland,WWL,-36.3995,174.66
Bay of Plenty,WWL,-37.6976,176.1513
Canterbury,CDL,-42.8337,172.8602
Southland,CDL,-45.8983,168.5493
Southland,CDL,-45.84,168.5339
Southland,CDL,-45.7676,168.4923
Southland,CDL,-45.7449,168.4848
Manawatū-Whanganui,CWL,-40.2395,176.1164
Manawatū-Whanganui,CWL,-39.7694,175.1618
Otago,CDH,-44.885,169.3843
Canterbury,CDH,-44.5093,170.6804
Canterbury,CDH,-44.3046,170.0704
Canterbury,CDH,-44.4898,169.9577
Canterbury,CWLk,-44.8565,170.69
Canterbury,CDL,-44.8159,170.6365
Canterbury,CDH,-44.1749,170.3233
Canterbury,CDH,-44.6045,170.2029
Canterbury,CWM,-44.0007,170.4119
Canterbury,CDH,-44.0874,170.3488
Canterbury,CDL,-42.6876,173.3025
Canterbury,CDH,-43.228,172.2286
Canterbury,CWH,-42.5991,173.4179
Canterbury,CWH,-42.6347,173.0648
Canterbury,CDL,-43.3224,172.6232
Canterbury,CDL,-43.3222,172.6302
Hawke's Bay,CWH,-39.2295,176.7968
Hawke's Bay,WWL,-39.2105,176.8895
Hawke's Bay,WDL,-40.2066,176.5911
Hawke's Bay,WDL,-39.5971,176.863
Hawke's Bay,WWL,-39.143,177.0208
Manawatū-Whanganui,CWL,-40.2408,176.0988
Tasman,CXL,-40.6693,172.6439
Tasman,CXH,-40.8637,172.8038
Tasman,CWL,-41.7998,172.3225
Tasman,CXH,-41.4433,172.5964
Tasman,WWL,-40.8788,172.83
Tasman,WWL,-40.8563,172.8318
Tasman,CXL,-40.8068,172.7637
Tasman,CXL,-40.7157,172.5769
West Coast,CXLk,-42.4044,171.5204
West Coast,CXL,-42.491,171.215
West Coast,CXL,-41.7687,171.6615
West Coast,CXL,-42.9869,170.703
West Coast,CXL,-43.0841,170.5692
West Coast,CXL,-43.1125,170.5533
West Coast,CXL,-42.5567,171.4595
Auckland,WWL,-36.6852,174.6946
Auckland,WDL,-36.9557,174.8906
Auckland,WDL,-36.732,174.6947
Auckland,WDL,-36.9927,174.8704
Auckland,WDL,-36.6844,174.7395
Auckland,WDL,-37.0134,175.0532
Southland,CXLk,-46.1308,167.686
Southland,CDL,-45.7162,168.4278
Southland,CWH,-45.5594,168.5615
Southland,CDL,-46.5402,168.5703
Manawatū-Whanganui,CDH,-39.6569,175.7809
Manawatū-Whanganui,CWH,-39.421,175.2821
Manawatū-Whanganui,WDL,-40.3733,175.6277
Manawatū-Whanganui,CWH,-40.4361,175.7917
Manawatū-Whanganui,CDH,-39.7003,175.3311
Manawatū-Whanganui,WWL,-38.9175,175.0324
Manawatū-Whanganui,CWH,-40.2956,175.2756
Manawatū-Whanganui,CWH,-39.4962,175.4577
Manawatū-Whanganui,CWL,-40.6865,175.1654
Northland,WWL,-35.0981,173.7733
Northland,WWL,-35.8695,174.4026
Northland,WWL,-35.3942,174.0199
Auckland,WWL,-36.8889,174.5221
Auckland,WWL,-36.7762,174.56
Auckland,WDL,-36.7231,174.6962
Auckland,WWL,-36.4485,174.6488
Auckland,WWL,-36.345,174.7118
Waikato,WWL,-37.1955,174.9735
Auckland,WWL,-36.8762,174.7048
Auckland,WWL,-36.8949,174.5947
Auckland,WWL,-37.0282,174.9232
Auckland,WWL,-36.551,174.6605
Auckland,WWL,-36.5785,174.6576
Auckland,WDL,-36.7319,174.6948
Auckland,WWL,-36.6696,174.7148
Bay of Plenty,CWLk,-37.8385,176.3902
Bay of Plenty,WWL,-37.7344,176.11
Bay of Plenty,WWL,-37.6992,176.0944
Manawatū-Whanganui,CWL,-40.2447,176.1895
Manawatū-Whanganui,CWH,-40.1227,176.0335
Bay of Plenty,WWL,-37.7553,176.3482
Northland,WWL,-35.2172,173.9629
Otago,CWM,-44.7485,169.2687
Otago,CDH,-45.1109,169.5916
Otago,CXGM,-44.6358,168.9907
Otago,CDLk,-45.9305,170.0661
Otago,CDL,-46.1671,169.5563
Otago,CDH,-45.5685,170.1404
Canterbury,CDL,-44.3733,171.2414
Canterbury,CDL,-43.3251,172.6023
Canterbury,CDL,-43.4349,171.986
Canterbury,CDL,-44.2082,171.3797
Hawke's Bay,WDL,-39.5138,176.8496
Hawke's Bay,WDL,-39.6722,176.8662
Tasman,CWH,-41.4509,172.8323
Canterbury,CDH,-44.3486,169.9668
Otago,CDL,-45.3922,170.8388
Otago,CXM,-44.774,168.3244
Otago,CDH,-45.111,170.7364
Tasman,WDL,-41.2437,173.09
Tasman,WDL,-41.1965,173.0577
West Coast,CWL,-41.244,172.146
West Coast,WWL,-41.2461,172.1301
Canterbury,CDL,-43.5222,172.607
Canterbury,CDL,-43.5234,172.6068
Canterbury,CDL,-43.5245,172.608
Canterbury,CDL,-43.5233,172.6727
Canterbury,WDL,-43.511,172.7213
Canterbury,CDL,-43.527,172.7238
Canterbury,CDL,-43.5776,172.6163
Canterbury,CDL,-43.5721,172.6432
Canterbury,CDL,-43.5556,172.6665
Canterbury,CDL,-43.5563,172.6913
Canterbury,CDL,-43.5599,172.7088
Canterbury,CDL,-43.4622,172.5895
Canterbury,CDL,-43.4688,172.5893
Canterbury,CDL,-43.469,172.6174
Canterbury,CDL,-43.4617,172.634
Canterbury,CDL,-43.4597,172.6562
Canterbury,CDL,-43.4641,172.6582
Canterbury,CDL,-43.552,172.7022
Canterbury,CDL,-43.7565,172.6825
Canterbury,CDL,-43.695,172.4505
Canterbury,CDLk,-43.7972,172.3386
Canterbury,CDL,-43.6843,172.5266
Canterbury,CWL,-43.765,172.7968
Waikato,CWLk,-37.8396,175.3477
Hawke's Bay,CDL,-39.9071,176.5248
Manawatū-Whanganui,CWH,-40.5237,175.9312
Manawatū-Whanganui,CWH,-38.8622,175.2382
Manawatū-Whanganui,CWL,-40.6308,176.3024
Manawatū-Whanganui,CWH,-39.409,175.3839
Manawatū-Whanganui,CWH,-39.4307,175.4637
Manawatū-Whanganui,WWL,-40.5377,175.4003
Manawatū-Whanganui,CWL,-40.3445,175.8539
Manawatū-Whanganui,CWL,-40.6517,175.7037
Manawatū-Whanganui,CWH,-40.2319,175.5823
Manawatū-Whanganui,CWL,-40.3878,175.5823
Manawatū-Whanganui,CWL,-40.3983,175.5568
Manawatū-Whanganui,CWL,-40.526,175.3999
Manawatū-Whanganui,CDH,-40.0621,175.7928
Manawatū-Whanganui,CWL,-40.6326,175.7147
Manawatū-Whanganui,CWH,-39.4378,175.2854
Manawatū-Whanganui,CWL,-40.4047,175.5547
Manawatū-Whanganui,CWL,-40.3445,175.8515
Manawatū-Whanganui,CWH,-39.4316,175.4638
Manawatū-Whanganui,CWL,-40.5369,175.3982
Manawatū-Whanganui,CWH,-39.4081,175.3827
Manawatū-Whanganui,CWH,-40.2374,175.5789
Manawatū-Whanganui,CWH,-40.2635,175.5411
Manawatū-Whanganui,CDL,-40.0639,175.7928
Marlborough,WDL,-41.6081,174.1515
Marlborough,CDM,-41.8348,173.7308
Marlborough,CDL,-41.8336,174.174
Marlborough,CWL,-41.2708,174.0739
Marlborough,CWL,-41.1661,174.1239
Marlborough,CWL,-41.3113,173.7747
Marlborough,CDH,-41.5229,173.8168
Marlborough,CWL,-41.4779,173.7812
Marlborough,CDL,-41.5173,174.0173
Marlborough,CDL,-41.4871,173.9092
Marlborough,CWH,-41.3007,173.7116
Marlborough,CWH,-41.3015,173.5684
Marlborough,CXL,-41.2856,173.5746
Marlborough,WDL,-41.4455,173.9703
Marlborough,WDL,-41.4382,173.9646
Marlborough,CDL,-41.5121,173.9605
Marlborough,CWH,-41.4423,174.0061
Marlborough,CWH,-41.5284,173.7322
Marlborough,CWH,-41.6212,173.689
Marlborough,CXH,-41.291,173.6689
Marlborough,CWL,-41.2936,174.005
Northland,WWL,-36.2028,174.4963
Northland,WWL,-35.2092,173.5411
Northland,WWL,-35.0395,173.4907
Northland,WXL,-35.5577,173.4476
Northland,WWL,-35.7266,174.1253
Northland,WWL,-35.2033,173.9686
Bay of Plenty,WWL,-37.7382,176.1419
Manawatū-Whanganui,CWL,-40.2534,176.0323
Manawatū-Whanganui,CWH,-40.7077,175.2336
Manawatū-Whanganui,CWL,-40.2246,176.1016
Manawatū-Whanganui,CWH,-40.2625,175.5446
Manawatū-Whanganui,WWL,-40.4394,175.8402
Manawatū-Whanganui,CWL,-40.0806,176.2229
Manawatū-Whanganui,CWL,-40.0842,176.2231
Manawatū-Whanganui,CWL,-40.4189,175.87
Manawatū-Whanganui,WWL,-40.4385,175.8425
Manawatū-Whanganui,CWL,-40.2613,176.0398
Manawatū-Whanganui,CDH,-39.4624,175.6579
Canterbury,CDL,-43.5618,172.5778
Bay of Plenty,CWLk,-38.0265,176.7386
Canterbury,CDL,-43.7656,172.3579
Canterbury,CDL,-43.7709,172.3534
Canterbury,CDL,-43.7874,172.7956
Canterbury,CDL,-43.641,172.64940000000001
Canterbury,CDL,-43.7776,172.9057
Canterbury,CWL,-42.4625,173.2735
Canterbury,CWL,-42.542,173.4505
Canterbury,CDL,-43.6541,172.7025
Canterbury,CDL,-43.8152,172.9027
Canterbury,CWL,-43.7822,172.9704
Canterbury,CWH,-42.4082,173.5417
Canterbury,CWL,-42.2792,173.7681
Canterbury,CWH,-42.3113,173.7176
Canterbury,CDL,-43.7608,172.9109
Canterbury,CDL,-43.7405,172.9332
Canterbury,CWH,-44.0511,171.8047
Canterbury,CWL,-43.6399,172.7505
Marlborough,CWL,-41.2819,173.9022
Marlborough,WDL,-41.902,174.1113
Nelson,CWL,-41.2892,173.2917
Otago,CDL,-45.8517,170.5238
West Coast,WWL,-41.3072,172.0972
Canterbury,CDL,-43.5227,172.6254
Canterbury,CDL,-43.5337,172.6165
Canterbury,CDL,-43.5356,172.6215
Canterbury,CDL,-43.5297,172.6396
Canterbury,CDL,-43.5147,172.6605
Canterbury,CDL,-43.5045,172.6825
Canterbury,CDL,-43.5022,172.6876
Canterbury,CDL,-43.5533,172.5802
Canterbury,CDL,-43.5545,172.5904
Canterbury,CDL,-43.5707,172.6123
Canterbury,CDL,-43.5735,172.6179
Canterbury,CDL,-43.5529,172.672
Canterbury,CDL,-43.4014,172.6911
Canterbury,CDL,-43.5961,172.5605
Canterbury,CDL,-43.6083,172.5593
Canterbury,CDL,-43.5532,172.6831
Manawatū-Whanganui,CWH,-40.4491,175.6216
Manawatū-Whanganui,CXH,-40.6805,175.5475
Manawatū-Whanganui,CWH,-39.4017,175.4123
Manawatū-Whanganui,CWL,-40.6643,175.1978
Manawatū-Whanganui,CWM,-39.9381,175.9258
Manawatū-Whanganui,CWH,-40.0522,175.9401
Manawatū-Whanganui,WDL,-40.0771,175.4532
Manawatū-Whanganui,CWH,-40.2454,176.0649
Manawatū-Whanganui,CWL,-40.4671,175.9228
Manawatū-Whanganui,CDL,-40.0257,175.2333
Manawatū-Whanganui,CWH,-39.9258,175.2757
Manawatū-Whanganui,CWH,-40.1895,175.3774
Manawatū-Whanganui,WDL,-40.1332,175.4858
Manawatū-Whanganui,WDL,-40.2149,175.4112
Manawatū-Whanganui,CWL,-40.2247,176.1017
Manawatū-Whanganui,WDL,-40.2158,175.4112
Manawatū-Whanganui,WDL,-40.1332,175.4846
Manawatū-Whanganui,CWH,-40.1955,175.3494
Manawatū-Whanganui,CDL,-40.1064,175.3885
Marlborough,CDH,-41.7075,173.8803
Marlborough,CXL,-41.2122,173.6227
Marlborough,CXL,-41.2104,173.596
Northland,WWL,-35.7101,174.3314
Manawatū-Whanganui,CDH,-39.4615,175.659
Manawatū-Whanganui,CDL,-40.1055,175.3873
Canterbury,CDL,-44.8905,171.0342
Manawatū-Whanganui,CDH,-39.683,175.8169
Marlborough,CWM,-41.5622,173.5138
Otago,CWL,-46.2896,169.2311
West Coast,CXH,-42.6449,171.3532
Canterbury,CDH,-44.8177,170.5092
Canterbury,CDH,-44.3387,170.0224
Canterbury,CDL,-43.6193,172.6498
Canterbury,CWL,-43.8103,172.9615
Waikato,CWH,-39.0792,176.2866
Hawke's Bay,CWH,-39.0741,176.3022
Waikato,CWH,-39.0823,176.3075
West Coast,CXL,-43.068600000000004,170.5194
West Coast,CXLk,-42.6526,171.435
West Coast,CXLk,-42.6116,171.4133
Auckland,WWL,-37.0925,175.1014
Auckland,WDL,-36.8805,174.863
Canterbury,CDL,-43.4541,172.6029
Manawatū-Whanganui,CWH,-40.2197,176.012
Manawatū-Whanganui,CWH,-39.3715,175.3246
Manawatū-Whanganui,WDL,-40.7244,175.2116
Manawatū-Whanganui,CWL,-40.3869,175.8898
Manawatū-Whanganui,CWL,-40.4496,175.8312
Manawatū-Whanganui,CWL,-40.3229,175.9954
Manawatū-Whanganui,CWL,-40.3887,175.8887
Manawatū-Whanganui,CWM,-39.4633,175.5812
Manawatū-Whanganui,CDH,-39.6721,175.8027
Manawatū-Whanganui,WDL,-40.0399,175.1677
Marlborough,CWL,-41.4664,173.8249
Marlborough,CWL,-41.2947,173.8576
Marlborough,WDL,-41.5147,173.9425
Marlborough,WDL,-41.5087,173.9417
Auckland,WWL,-37.227,174.7398
Auckland,WWL,-37.1707,174.8424
Auckland,WWL,-36.7369,174.5358
Auckland,WWL,-36.5566,174.5207
Auckland,WWL,-36.6306,174.519
Hawke's Bay,WWL,-39.1,176.7022
Manawatū-Whanganui,WDL,-40.0401,175.1685
Otago,CDM,-44.9394,169.7649
Otago,CDH,-45.15,170.2612
Hawke's Bay,WDL,-39.6908,176.7984
Tasman,WDL,-41.3255,173.1752
West Coast,CXL,-42.3899,171.2559
West Coast,CXL,-42.3862,171.2515
Bay of Plenty,WWL,-37.7336,176.2285
Manawatū-Whanganui,CWH,-39.4382,175.289
Manawatū-Whanganui,CWL,-40.5464,176.1946
Manawatū-Whanganui,CWL,-40.4757,175.7957
Manawatū-Whanganui,CWL,-40.4026,175.8827
Manawatū-Whanganui,CWL,-40.6469,175.6945
Manawatū-Whanganui,CWL,-40.1159,176.2709
Manawatū-Whanganui,CWL,-40.1155,176.2709
Manawatū-Whanganui,CWL,-40.549,176.1977
Canterbury,CDL,-43.588,172.5798
Bay of Plenty,WWL,-37.8155,176.5127
Hawke's Bay,CWH,-39.4849,176.6998
Otago,CXLk,-44.6505,169.2464
Waikato,CWH,-38.7519,176.3883
Bay of Plenty,CWH,-38.8744,176.3694
Canterbury,CDL,-43.6738,172.6562
Hawke's Bay,WWL,-38.9479,177.0616
Hawke's Bay,WWL,-38.8901,177.5221
Waikato,WWL,-37.3017,174.7586
Waikato,WWL,-37.8706,175.1408
Waikato,CWH,-38.8911,175.6
Waikato,CWH,-38.4583,175.7339
Waikato,WWL,-38.3376,175.1695
Waikato,WWL,-38.5216,174.9064
Waikato,WWL,-37.9765,175.2667
Waikato,WWL,-37.2471,175.1848
Waikato,WDL,-37.5597,175.243
Waikato,WWL,-37.4822,175.2394
Waikato,WWL,-37.3125,174.9524
Waikato,WWL,-38.0427,174.9333
Waikato,WWL,-38.0301,175.2935
Waikato,WWL,-38.2641,174.8447
Waikato,CWL,-38.9921,175.7881
Waikato,CWLk,-38.4872,176.3065
Waikato,WWL,-37.7326,174.9682
Waikato,CWH,-38.455,176.3275
Waikato,CWH,-38.4533,175.4448
Waikato,WWL,-37.2575,174.925
Waikato,WWL,-37.3355,175.2358
Waikato,WWLk,-37.4453,175.088
Waikato,CWH,-38.3031,176.2652
Waikato,WWLk,-37.3063,175.0871
Auckland,WWL,-36.737,174.6194
Otago,CDL,-45.8985,169.2352
Waikato,CWH,-38.9792,175.77440000000001
Manawatū-Whanganui,WDL,-40.6219,175.2473
Nelson,CWL,-41.3115,173.2922
Tasman,CXM,-41.0297,172.7982
Waikato,WWL,-37.1983,175.1329
Gisborne,WDL,-38.6707,178.0317
Hawke's Bay,WDL,-39.693,176.794
Hawke's Bay,CWH,-38.9504,176.5242
Hawke's Bay,CWH,-39.073,177.1293
West Coast,CXL,-43.2042,170.2665
Manawatū-Whanganui,CWM,-39.4661,175.5755
Waikato,CWH,-38.6428,175.9276
Gisborne,WWL,-38.0529,178.305
West Coast,CXL,-42.556,171.4607
Marlborough,CWM,-41.7001,173.1833
West Coast,CXL,-42.5525,171.4551
Manawatū-Whanganui,CXM,-39.1145,175.4582
